"Country letter code","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"BRN",96,"Brunei Darussalam",18308,19326,20272,21236,22197,23131,24036,24917,25775,26628,27495,28377,29287,30271,31382,32647,34086,35673,37337,38978,40538,41970,43303,44632,46094,47767,49686,51783,53919,55911,57630,59044,60175,61106,61915,62651,63316,63892,64380,64781,65097,65338,65507,65599,65602,65512,65327,65066,64756,64440,64144,63891,63678,63503,63355,63226,63110,63020,62994,63075,63295,63619,64053,64539,64994,65356
"BGR",100,"Bulgaria",1624728,1632125,1632987,1629057,1623079,1617126,1611587,1606010,1600649,1595636,1591058,1587096,1583841,1581129,1578684,1576244,1560842,1545547,1529820,1512961,1494486,1474133,1452093,1428875,1405226,1381681,1358393,1335204,1311978,1288509,1264700,1240673,1216618,1192591,1168605,1144693,1120724,1096797,1073408,1051235,1030727,1012131,994350,978014,962051,945673,928682,911210,893201,874670,855647,836027,815840,795433,775289,755777,736989,718919,701716,685524,670444,655818,642057,628830,615653,602222
"BFA",854,"Burkina Faso",1088918,1104959,1121832,1139450,1157674,1176446,1193174,1210470,1228705,1248369,1269811,1293205,1318500,1345535,1374065,1403916,1435114,1467790,1502036,1537966,1575673,1615143,1656395,1699615,1745032,1792812,1843047,1895675,1950533,2007388,2066067,2126586,2189007,2253258,2319254,2386939,2456285,2527365,2600359,2675509,2753006,2831718,2911239,2991470,3072275,3153507,3234941,3316393,3397794,3479122,3560206,3640762,3720292,3798078,3873253,3945057,4012869,4076115,4134136,4186197,4231522,4356511,4483656,4613076,4744954,4879391
"BDI",108,"Burundi",498426,503100,506554,510202,515982,525246,538524,555280,574474,594548,612972,630625,647752,664651,681858,699664,718170,736939,755099,771484,785275,796643,805969,812985,817405,819370,818390,815481,814134,818939,833117,857875,892136,933968,980360,1028959,1079386,1131850,1185250,1238388,1290399,1340955,1389374,1436018,1481566,1526539,1570977,1614763,1658093,1701179,1744182,1787128,1830065,1873143,1916504,1960202,2004153,2048172,2092058,2135573,2178506,2242940,2309073,2376857,2446208,2517082
"CPV",132,"Cabo Verde",25428,26124,27039,28009,28806,29277,29344,29079,28675,28400,28444,28832,29551,30451,31311,31978,32394,32633,32822,33156,33767,34694,35886,37275,38762,40260,41748,43229,44671,46048,47340,48546,49665,50696,51638,52494,53262,53961,54629,55323,56080,56916,57822,58795,59819,60887,61996,63149,64342,65571,66830,68124,69446,70768,72053,73273,74411,75469,76459,77401,78309,78653,78912,79077,79135,79076
"KHM",116,"Cambodia",1013964,1035721,1061115,1086711,1107800,1121352,1125851,1123200,1117961,1116506,1123311,1140051,1165179,1196015,1228461,1259626,1288685,1316782,1345334,1376513,1411794,1451678,1495384,1541569,1588326,1634316,1679012,1722953,1767139,1813007,1861500,1912537,1965539,2020358,2076871,2134949,2194817,2256201,2317836,2377938,2435090,2487680,2535992,2580397,2621763,2660815,2698156,2733661,2766522,2795440,2819591,2837427,2849616,2860079,2874293,2895708,2927248,2966407,3004680,3030092,3034441,3036358,3018091,2989232,2963608,2951067
"CMR",120,"Cameroon",1146536,1169608,1193498,1218366,1244407,1271784,1300611,1326773,1354167,1382729,1412435,1443296,1475401,1508903,1543997,1580830,1619484,1659952,1702184,1746088,1791610,1838754,1887575,1938126,1990465,2044620,2100610,2158421,2218005,2279307,2342310,2406971,2473358,2541706,2612348,2685520,2761340,2839730,2920474,3003250,3087815,3174138,3261595,3349218,3436812,3524193,3611147,3697555,3783427,3868830,3953758,4037989,4121298,4203625,4284955,4365238,4444387,4522093,4597778,4670761,4740477,4867755,4995835,5124694,5254368,5384888
"CAN",124,"Canada",3618486,3710450,3774362,3839260,3904108,3968133,4030913,4092414,4152782,4212345,4271352,4329169,4385599,4441813,4499447,4559371,4622241,4686738,4749316,4805170,4850757,4885126,4909035,4922791,4927242,4923227,4910484,4889348,4862018,4831359,4799521,4767064,4733786,4700072,4666158,4632105,4598837,4566261,4532286,4494110,4450147,4399558,4339485,4282366,4233268,4195634,4170712,4157158,4152576,4153395,4156958,4162673,4171102,4182172,4196084,4212969,4232747,4255249,4280514,4308589,4339634,4342210,4343305,4343610,4344028,4345265
"CYM",136,"Cayman Islands",1148,1215,1305,1414,1538,1674,1823,1985,2147,2292,2390,2446,2474,2505,2590,2758,3026,3377,3773,4162,4509,4796,5037,5264,5526,5851,6251,6704,7165,7574,7888,8094,8208,8260,8290,8327,8379,8435,8483,8506,8489,8426,8339,8229,8106,7975,7837,7695,7551,7410,7276,7148,7029,6928,6851,6808,6801,6829,6880,6946,7013,7008,6998,6983,6966,6950
"CAF",140,"Central African Republic",319795,324570,329046,333495,338299,343756,350055,356975,364769,373734,384026,395905,409168,422934,435996,447540,457134,465163,472612,480908,491063,503393,517517,532921,548787,564498,580020,595501,610707,625399,639454,652704,665319,677931,691405,706372,723045,741272,760853,781441,802768,824794,847102,869176,890837,911917,932289,951828,970380,987784,1003915,1018663,1031973,1043830,1054214,1063085,1070351,1075929,1079774,1081898,1082325,1103729,1125026,1146211,1167287,1188256
"TCD",148,"Chad",650435,664056,678732,693875,708665,722556,735383,747426,759127,771132,783968,797731,812447,828507,846357,866308,888635,913281,939828,967640,996289,1025679,1056050,1087720,1121144,1156685,1194361,1234147,1272107,1312379,1355123,1400568,1448564,1498426,1549221,1599879,1649909,1699551,1749313,1799962,1852032,1905609,1960462,2016440,2073293,2130817,2188896,2247473,2306492,2365888,2425542,2485259,2544771,2603727,2661726,2718427,2773508,2826738,2877881,2926735,2973022,3076176,3181758,3289721,3400024,3512601
"CHL",152,"Chile",1199822,1220336,1241538,1263518,1286393,1310244,1334988,1360610,1387309,1415349,1444866,1475853,1508082,1541179,1574675,1608211,1641624,1674847,1707725,1740094,1771761,1802605,1832434,1860897,1887607,1912300,1934831,1955232,1973630,1990218,2005103,2018279,2029638,2039070,2046437,2051650,2054768,2055870,2054934,2051931,2046925,2039831,2031701,2024699,2019906,2018125,2019837,2024896,2032678,2042201,2052774,2064032,2076252,2090145,2106758,2126732,2150317,2176946,2205471,2234260,2262080,2262165,2259190,2253327,2244964,2234445
"CHN",156,"China",119116582,122201235,125653409,129388560,133286817,137259643,141288287,145393925,149578026,153853369,158236270,162701994,167259527,171377030,175759927,180483317,185542175,190878668,196448208,202192476,208051988,214023144,220052215,225972724,231576268,236709074,241362617,245560396,249224499,252259135,254613863,256175382,257018799,257503688,258122924,259213206,260879660,262967693,265239816,267354871,269062556,270080157,270646826,270653797,269992438,268609647,266514970,263780911,260504786,256804058,252781413,248421618,243782824,239111705,234713309,230781541,227381175,224394661,221595049,218658405,215323688,213691889,211818242,209555370,206730073,203251630
"HKG",344,"China, Hong Kong SAR",545947,545158,542620,543962,549739,560169,575592,595596,618705,642984,667041,690554,713766,736614,759179,781574,803635,825407,847461,870530,895093,920772,947214,974826,1004123,1035101,1068379,1102842,1134718,1159120,1172838,1174388,1165349,1149328,1131415,1115186,1101679,1089753,1078204,1065167,1049483,1031225,1008624,986361,965175,945531,927512,910938,895651,881396,867964,855319,843443,832195,821408,810942,800792,790951,781318,771792,762390,744152,725475,707094,689966,674774
